LNG,LAT
-0.167262,51.473845
-0.1928302,51.4895352
-0.1017928,51.4935258
-0.1604752,51.4920699
0.0024468,51.486171
2.307829684,48.871376415
-0.1622621,51.5249326
2.3401756,48.859120731
2.3539218,48.8639124
-0.1326274,51.5141435
-0.1325494,51.5141768
-0.1326274,51.5141435
-0.1712151,51.4616203
-0.1712151,51.4616203
-0.1712151,51.4616203
2.3473041,48.8787996
-0.1537951,51.5130359
-0.0570981,51.5437532
2.350281,48.8715982
-0.1386,51.4910184
-0.0570981,51.5437532
2.363666246,48.865605992
-0.1904291,51.4864603
-0.0739844,51.5450769
-0.1858572,51.4925587
-0.1546558,51.50923
-0.1546558,51.50923
-0.1546558,51.50923
-0.1755945,51.4838996
-0.1875066,51.5153949
2.3373271,48.880916
2.3373271,48.880916
-0.1932334,51.5105505
-0.1826647,51.4917125
2.3051032,48.8728697
2.331290561,48.848134508
2.3512691,48.853455
2.332954953,48.839076497
-0.1226461,51.5085937
-0.1226461,51.5085937
2.301179969,48.873275027
2.3113054,48.860698505
2.337514023,48.851464256
2.337253454,48.86500991
-0.125643,51.486
-0.1520576,51.491816
-0.150121,51.5193
-0.125222,51.4866
-0.184773,51.5013
-0.181058,51.4744
-0.1920506,51.4957466
-0.186676,51.4851
-0.2232913,51.5215673
-0.0507256,51.5284484
-0.0507256,51.5284484
-0.1447749,51.4901014
-0.1449928,51.492004
-0.1551043,51.5098822
-0.1394126,51.4659227
-0.2089378,51.5076533
-0.1982295,51.5088063
-0.1637471,51.4669526
-0.1326596,51.5141465
-0.1646583,51.4985371
-0.2069423,51.4982896
-0.3258636,51.5109247
-0.3258636,51.5109247
-0.1261128,51.4255978
2.296210101,48.886499024
2.296510508,48.886245051
2.34177176,48.8870307
-0.1265872,51.5111509
-0.171127,51.4913463
-0.0864788,51.4034722
2.367577115,48.860587364
-0.1999504,51.5132362
-0.0870981,51.557441
-0.131197,51.5147697
-0.2107865,51.5211461
-0.055742,51.53048
-0.055742,51.53048
-0.1368945,51.4907525
-0.1879732,51.5172559
2.332109708,48.844956884
2.342034908,48.864161063
-0.1638608,51.5135986
-0.0796542,51.5179486
-0.1910808,51.515892
-0.0800637,51.5253482
-0.1052245,51.5248958
-0.1240952,51.5238323
2.357925739,48.857158971
2.357916,48.8568807
2.360086415,48.854380263
2.334155519,48.854489229
2.352173361,48.864938751
-0.1227149,51.5134435
2.338838838,48.862310802
2.307057877,48.859751297
-0.2252205,51.4985285
-0.167134,51.4790504
2.329997215,48.846935757
2.362751708,48.863049339
2.3602686,48.8670558
-0.2158325,51.5172296
2.3008078,48.8580483
2.354425492,48.8601818
2.362794623,48.863105803
-0.1091899,51.5060755
-0.1386068,51.487973
2.3500669,48.860164621
-0.1523836,51.4370561
0.0136203,51.5369893
2.356199831,48.86438168
-0.1171354,51.4559348
2.361109985,48.856546578
-0.1603916,51.4918328
2.354454215,48.823844446
2.376265546,48.852955248
-0.1418314,51.5087831
2.305488677,48.879384569
-0.1755899936,51.460800171
-0.1622209,51.519394
-0.1825085,51.4921034
-0.1858264,51.5250974
2.359047592,48.856039955
2.3311268,48.8702799
-0.0862607,51.5246979
-0.1517704,51.5402914
-0.1629234,51.5241577
2.346058531,48.860341398
2.338198162,48.89062705
2.354517093,48.86012693
-0.0629622,51.5305543
-0.09395218466,51.503729013
2.360541177,48.869527903
2.352321969,48.858190435
2.348886753,48.865902339
-0.1614064,51.4972388
-0.1121145,51.5660953
2.3231228,48.8479061
2.3231228,48.8479061
2.344270647,48.860074758
2.386217831,48.847990891
-0.1872335,51.5149188
2.362837539,48.863105803
-0.181014,51.4932641
2.3374179,48.8851155
2.337503731,48.8849744
2.336945831,48.885256599
2.350715431,48.860178238
2.3622377,48.8560325
-0.1087401,51.51502
2.366606223,48.871963755
2.3409637,48.8708121
-0.258822,51.499392
2.3034338,48.8682615
2.3171344,48.8712534
2.324776393,48.855003622
2.3373871,48.8808823
2.337086693,48.880910522
2.337515846,48.880628299
2.3373871,48.8808823
2.2995339,48.8709516
2.282216539,48.864794512
2.367742447,48.855883946
2.3680516,48.8603233
-0.1565637,51.4992626
-0.1451112,51.4888718
2.312550452,48.871837491
2.332461533,48.882026511
2.304417807,48.869254444
2.347720608,48.866883391
2.3629464,48.8619811
2.3351365,48.8685891
2.334921923,48.8685891
2.306786616,48.871708737
2.3434888,48.8835681
2.362883561,48.855166626
2.3495672,48.8504722
2.3606537,48.870628
2.357528123,48.862238371
2.361410146,48.872880461
2.350475,48.8639683
2.251147277,48.87911448
2.2914535,48.8647215
-0.1539695,51.5234199
2.349324393,48.866592591
2.345767993,48.867888246
2.351712539,48.865918558
2.337199345,48.880917578
-0.180675,51.4871994
2.369618938,48.849470482
2.353912061,48.863456872
2.3548175,48.8602681
-0.1766462,51.4919807
2.363438353,48.863472822
-0.1670712,51.5139794
-0.1838467,51.4967526
-0.1950861,51.4787634
2.323907853,48.8564494
2.359324462,48.86716872
2.3500975,48.8717333
2.3453059,48.8750336
-0.219234,51.5014987
2.3308742,48.8532632
2.286391539,48.875556275
2.355056561,48.864471111
2.358096284,48.868065182
-0.2279164,51.4890325
-0.209427,51.5221664
2.3747062,48.8528238
2.3750026,48.8530261
2.3323672,48.8447027
2.3323672,48.8447027
2.2940816,48.8560824
-0.138556,51.4889302
2.337036385,48.853232409
-0.1411362,51.5182197
-0.1267409,51.5144342
-0.181628,51.5125389
-0.2438239,51.5344368
2.3500435,48.8728529
-0.1365521,51.4902656
2.363342377,48.86939917
-0.1980060041,51.506599426
2.301363939,48.882460297
-0.1880045,51.4930195
-0.1957976,51.4975754
-0.0927675,51.5067718
-0.1449833,51.492633
-0.2001536,51.5156779
-0.1591839939,51.540699005
2.363642492,48.855825754
2.362837539,48.863077571
-0.1640086,51.4976274
2.332432647,48.880323713
2.3709343,48.8611292
-0.1418314,51.5087831
-0.2114614,51.4945033
-0.1872335,51.5149188
2.306925861,48.871644018
-0.1472954,51.5121467
-0.1472954,51.5121467
-0.1944869,51.509835
-0.1393265,51.5184174
-0.1393265,51.5184174
2.3561113,48.8519182
-0.1254834,51.517658
-0.1254834,51.517658
-0.2438396,51.500979
-0.1014399,51.5051175
-0.1693925,51.52422
-0.1254834,51.517658
